S (in)	X Coordinate (in)	Y Coordinate (in)	Z Coordinate (in)	Normal Stress (psi)
9.046	27.576	93.427	1.1066e-015	5108.5
9.1162	27.646	93.427	1.0913e-015	4990.
9.1863	27.716	93.427	1.0759e-015	4871.7
9.2564	27.786	93.427	1.0605e-015	4753.5
9.3265	27.857	93.427	1.0452e-015	4635.2
9.3967	27.927	93.427	1.0298e-015	4516.9
9.4668	27.997	93.427	1.0144e-015	4398.6
9.5369	28.067	93.427	9.9905e-016	4280.3
9.607	28.137	93.427	9.8368e-016	4161.7
9.6772	28.207	93.427	9.6831e-016	4042.
9.7473	28.277	93.427	9.5294e-016	3922.3
9.8174	28.347	93.427	9.3757e-016	3802.6
9.8875	28.418	93.427	9.222e-016	3682.8
9.9577	28.488	93.427	9.0683e-016	3563.1
10.028	28.558	93.427	8.9146e-016	3443.4
10.098	28.628	93.427	8.7609e-016	3323.6
10.168	28.698	93.427	8.6072e-016	3200.9
10.238	28.768	93.427	8.4535e-016	3078.2
10.308	28.838	93.427	8.2998e-016	2955.5
10.378	28.908	93.427	8.1461e-016	2832.8
10.449	28.979	93.427	7.9924e-016	2710.1
10.519	29.049	93.427	7.8387e-016	2587.4
10.589	29.119	93.427	7.685e-016	2464.7
10.659	29.189	93.427	7.5313e-016	2337.9
10.729	29.259	93.427	7.3776e-016	2210.6
10.799	29.329	93.427	7.2239e-016	2083.4
10.869	29.399	93.427	7.0702e-016	1956.1
10.939	29.469	93.427	6.9165e-016	1828.9
11.01	29.54	93.427	6.7628e-016	1701.7
11.08	29.61	93.427	6.6091e-016	1574.4
11.15	29.68	93.427	6.4554e-016	1442.3
11.22	29.75	93.427	6.3017e-016	1308.9
11.29	29.82	93.427	6.148e-016	1175.5
11.36	29.89	93.427	5.9943e-016	1042.1
11.43	29.96	93.427	5.8406e-016	908.65
11.5	30.03	93.427	5.6869e-016	775.22
11.571	30.101	93.427	5.5332e-016	641.8
11.641	30.171	93.427	5.3795e-016	503.22
11.711	30.241	93.427	5.2258e-016	361.87
11.781	30.311	93.427	5.0721e-016	220.52
11.851	30.381	93.427	4.9184e-016	79.178
11.921	30.451	93.427	4.7647e-016	-62.169
11.991	30.521	93.427	4.611e-016	-203.52
12.061	30.591	93.427	4.4573e-016	-344.86
12.132	30.662	93.427	4.3036e-016	-491.32
12.202	30.732	93.427	4.1499e-016	-642.49
12.272	30.802	93.427	3.9962e-016	-793.66
12.342	30.872	93.427	3.8425e-016	-944.82
12.412	30.942	93.427	3.6888e-016	-1096.
12.482	31.012	93.427	3.5351e-016	-1247.2
12.552	31.082	93.427	3.3814e-016	-1398.3
12.622	31.152	93.427	3.2277e-016	-1554.2
12.693	31.223	93.427	3.074e-016	-1717.2
12.763	31.293	93.427	2.9203e-016	-1880.3
12.833	31.363	93.427	2.7666e-016	-2043.4
12.903	31.433	93.427	2.6129e-016	-2206.5
12.973	31.503	93.427	2.4592e-016	-2369.6
