S (in)	X Coordinate (in)	Y Coordinate (in)	Z Coordinate (in)	Normal Stress (psi)
0.	18.53	93.427	3.0894e-015	-3978.8
7.0124e-002	18.6	93.427	3.074e-015	-1694.7
0.14025	18.67	93.427	3.0586e-015	-999.17
0.21037	18.74	93.427	3.0433e-015	-519.64
0.2805	18.81	93.427	3.0279e-015	-189.61
0.35062	18.881	93.427	3.0125e-015	39.745
0.42075	18.951	93.427	2.9972e-015	190.2
0.49087	19.021	93.427	2.9818e-015	289.33
0.561	19.091	93.427	2.9664e-015	351.64
0.63112	19.161	93.427	2.951e-015	388.06
0.70124	19.231	93.427	2.9357e-015	410.63
0.77137	19.301	93.427	2.9203e-015	416.59
0.84149	19.371	93.427	2.9049e-015	413.6
0.91162	19.442	93.427	2.8896e-015	408.38
0.98174	19.512	93.427	2.8742e-015	399.58
1.0519	19.582	93.427	2.8588e-015	387.25
1.122	19.652	93.427	2.8435e-015	374.87
1.1921	19.722	93.427	2.8281e-015	361.34
1.2622	19.792	93.427	2.8127e-015	347.13
1.3324	19.862	93.427	2.7973e-015	333.43
1.4025	19.932	93.427	2.782e-015	320.57
1.4726	20.003	93.427	2.7666e-015	307.79
1.5427	20.073	93.427	2.7512e-015	295.92
1.6129	20.143	93.427	2.7359e-015	284.39
1.683	20.213	93.427	2.7205e-015	273.42
1.7531	20.283	93.427	2.7051e-015	262.97
1.8232	20.353	93.427	2.6898e-015	252.85
1.8934	20.423	93.427	2.6744e-015	243.78
1.9635	20.493	93.427	2.659e-015	235.08
2.0336	20.564	93.427	2.6436e-015	226.91
2.1037	20.634	93.427	2.6283e-015	219.19
2.1739	20.704	93.427	2.6129e-015	211.3
2.244	20.774	93.427	2.5975e-015	203.89
2.3141	20.844	93.427	2.5822e-015	197.31
2.3842	20.914	93.427	2.5668e-015	190.79
2.4544	20.984	93.427	2.5514e-015	184.37
2.5245	21.054	93.427	2.5361e-015	178.99
2.5946	21.125	93.427	2.5207e-015	173.61
2.6647	21.195	93.427	2.5053e-015	168.23
2.7349	21.265	93.427	2.4899e-015	162.99
2.805	21.335	93.427	2.4746e-015	158.67
2.8751	21.405	93.427	2.4592e-015	154.36
2.9452	21.475	93.427	2.4438e-015	150.06
3.0153	21.545	93.427	2.4285e-015	145.78
3.0855	21.615	93.427	2.4131e-015	141.95
3.1556	21.686	93.427	2.3977e-015	138.6
3.2257	21.756	93.427	2.3824e-015	135.28
3.2958	21.826	93.427	2.367e-015	131.96
3.366	21.896	93.427	2.3516e-015	128.66
3.4361	21.966	93.427	2.3362e-015	125.66
3.5062	22.036	93.427	2.3209e-015	123.01
3.5763	22.106	93.427	2.3055e-015	120.36
3.6465	22.176	93.427	2.2901e-015	117.71
3.7166	22.247	93.427	2.2748e-015	115.07
3.7867	22.317	93.427	2.2594e-015	112.42
3.8568	22.387	93.427	2.244e-015	110.36
3.927	22.457	93.427	2.2287e-015	108.36
3.9971	22.527	93.427	2.2133e-015	106.36
4.0672	22.597	93.427	2.1979e-015	104.36
4.1373	22.667	93.427	2.1825e-015	102.37
4.2075	22.737	93.427	2.1672e-015	100.38
4.2776	22.808	93.427	2.1518e-015	98.705
4.3477	22.878	93.427	2.1364e-015	97.2
4.4178	22.948	93.427	2.1211e-015	95.696
4.488	23.018	93.427	2.1057e-015	94.192
4.5581	23.088	93.427	2.0903e-015	92.69
4.6282	23.158	93.427	2.075e-015	91.188
4.6983	23.228	93.427	2.0596e-015	89.781
4.7685	23.298	93.427	2.0442e-015	88.626
4.8386	23.369	93.427	2.0288e-015	87.471
4.9087	23.439	93.427	2.0135e-015	86.317
4.9788	23.509	93.427	1.9981e-015	85.164
5.049	23.579	93.427	1.9827e-015	84.01
5.1191	23.649	93.427	1.9674e-015	82.857
5.1892	23.719	93.427	1.952e-015	81.867
5.2593	23.789	93.427	1.9366e-015	80.965
5.3295	23.859	93.427	1.9213e-015	80.064
5.3996	23.93	93.427	1.9059e-015	79.164
5.4697	24.	93.427	1.8905e-015	78.263
5.5398	24.07	93.427	1.8751e-015	77.363
5.61	24.14	93.427	1.8598e-015	76.463
5.6801	24.21	93.427	1.8444e-015	75.713
5.7502	24.28	93.427	1.829e-015	74.99
5.8203	24.35	93.427	1.8137e-015	74.266
5.8904	24.42	93.427	1.7983e-015	73.543
5.9606	24.491	93.427	1.7829e-015	72.82
6.0307	24.561	93.427	1.7676e-015	72.096
6.1008	24.631	93.427	1.7522e-015	71.373
6.1709	24.701	93.427	1.7368e-015	70.776
6.2411	24.771	93.427	1.7214e-015	70.18
6.3112	24.841	93.427	1.7061e-015	69.584
6.3813	24.911	93.427	1.6907e-015	68.988
6.4514	24.981	93.427	1.6753e-015	68.392
6.5216	25.052	93.427	1.66e-015	67.796
6.5917	25.122	93.427	1.6446e-015	67.2
6.6618	25.192	93.427	1.6292e-015	66.692
6.7319	25.262	93.427	1.6139e-015	66.19
6.8021	25.332	93.427	1.5985e-015	65.687
6.8722	25.402	93.427	1.5831e-015	65.184
6.9423	25.472	93.427	1.5677e-015	64.681
7.0124	25.542	93.427	1.5524e-015	64.178
7.0826	25.613	93.427	1.537e-015	63.675
7.1527	25.683	93.427	1.5216e-015	63.229
7.2228	25.753	93.427	1.5063e-015	62.794
