S (in)	X Coordinate (in)	Y Coordinate (in)	Z Coordinate (in)	Normal Stress (psi)
7.2929	25.823	93.427	1.4909e-015	62.36
7.3631	25.893	93.427	1.4755e-015	61.925
7.4332	25.963	93.427	1.4602e-015	61.491
7.5033	26.033	93.427	1.4448e-015	61.056
7.5734	26.103	93.427	1.4294e-015	60.622
7.6436	26.174	93.427	1.414e-015	60.223
7.7137	26.244	93.427	1.3987e-015	59.84
7.7838	26.314	93.427	1.3833e-015	59.457
7.8539	26.384	93.427	1.3679e-015	59.074
7.9241	26.454	93.427	1.3526e-015	58.692
7.9942	26.524	93.427	1.3372e-015	58.309
8.0643	26.594	93.427	1.3218e-015	57.926
8.1344	26.664	93.427	1.3065e-015	57.565
8.2046	26.735	93.427	1.2911e-015	57.222
8.2747	26.805	93.427	1.2757e-015	56.879
8.3448	26.875	93.427	1.2603e-015	56.537
8.4149	26.945	93.427	1.245e-015	56.194
8.4851	27.015	93.427	1.2296e-015	55.851
8.5552	27.085	93.427	1.2142e-015	55.508
8.6253	27.155	93.427	1.1989e-015	55.178
8.6954	27.225	93.427	1.1835e-015	54.867
8.7655	27.296	93.427	1.1681e-015	54.555
8.8357	27.366	93.427	1.1528e-015	54.244
8.9058	27.436	93.427	1.1374e-015	53.933
8.9759	27.506	93.427	1.122e-015	53.621
9.046	27.576	93.427	1.1066e-015	53.31
9.1162	27.646	93.427	1.0913e-015	53.006
9.1863	27.716	93.427	1.0759e-015	52.719
9.2564	27.786	93.427	1.0605e-015	52.433
9.3265	27.857	93.427	1.0452e-015	52.146
9.3967	27.927	93.427	1.0298e-015	51.86
9.4668	27.997	93.427	1.0144e-015	51.573
9.5369	28.067	93.427	9.9905e-016	51.287
9.607	28.137	93.427	9.8368e-016	51.004
9.6772	28.207	93.427	9.6831e-016	50.736
9.7473	28.277	93.427	9.5294e-016	50.469
9.8174	28.347	93.427	9.3757e-016	50.202
9.8875	28.418	93.427	9.222e-016	49.935
9.9577	28.488	93.427	9.0683e-016	49.667
10.028	28.558	93.427	8.9146e-016	49.4
10.098	28.628	93.427	8.7609e-016	49.134
10.168	28.698	93.427	8.6072e-016	48.88
10.238	28.768	93.427	8.4535e-016	48.627
10.308	28.838	93.427	8.2998e-016	48.374
10.378	28.908	93.427	8.1461e-016	48.121
10.449	28.979	93.427	7.9924e-016	47.867
10.519	29.049	93.427	7.8387e-016	47.614
10.589	29.119	93.427	7.685e-016	47.361
10.659	29.189	93.427	7.5313e-016	47.115
10.729	29.259	93.427	7.3776e-016	46.87
10.799	29.329	93.427	7.2239e-016	46.625
10.869	29.399	93.427	7.0702e-016	46.38
10.939	29.469	93.427	6.9165e-016	46.136
11.01	29.54	93.427	6.7628e-016	45.891
11.08	29.61	93.427	6.6091e-016	45.646
11.15	29.68	93.427	6.4554e-016	45.403
11.22	29.75	93.427	6.3017e-016	45.16
11.29	29.82	93.427	6.148e-016	44.918
11.36	29.89	93.427	5.9943e-016	44.675
11.43	29.96	93.427	5.8406e-016	44.432
11.5	30.03	93.427	5.6869e-016	44.19
11.571	30.101	93.427	5.5332e-016	43.947
11.641	30.171	93.427	5.3795e-016	43.701
11.711	30.241	93.427	5.2258e-016	43.454
11.781	30.311	93.427	5.0721e-016	43.206
11.851	30.381	93.427	4.9184e-016	42.959
11.921	30.451	93.427	4.7647e-016	42.711
11.991	30.521	93.427	4.611e-016	42.464
12.061	30.591	93.427	4.4573e-016	42.216
12.132	30.662	93.427	4.3036e-016	41.962
12.202	30.732	93.427	4.1499e-016	41.701
12.272	30.802	93.427	3.9962e-016	41.44
12.342	30.872	93.427	3.8425e-016	41.179
12.412	30.942	93.427	3.6888e-016	40.917
12.482	31.012	93.427	3.5351e-016	40.656
12.552	31.082	93.427	3.3814e-016	40.395
12.622	31.152	93.427	3.2277e-016	40.125
12.693	31.223	93.427	3.074e-016	39.84
12.763	31.293	93.427	2.9203e-016	39.554
12.833	31.363	93.427	2.7666e-016	39.269
12.903	31.433	93.427	2.6129e-016	38.984
12.973	31.503	93.427	2.4592e-016	38.699
13.043	31.573	93.427	2.3055e-016	38.413
13.113	31.643	93.427	2.1518e-016	38.118
13.183	31.713	93.427	1.9981e-016	37.796
13.254	31.784	93.427	1.8444e-016	37.473
13.324	31.854	93.427	1.6907e-016	37.15
13.394	31.924	93.427	1.537e-016	36.827
13.464	31.994	93.427	1.3833e-016	36.504
13.534	32.064	93.427	1.2296e-016	36.182
13.604	32.134	93.427	1.0759e-016	35.852
13.674	32.204	93.427	9.222e-017	35.473
13.744	32.274	93.427	7.685e-017	35.095
13.815	32.345	93.427	6.148e-017	34.717
13.885	32.415	93.427	4.611e-017	34.338
13.955	32.485	93.427	3.074e-017	33.96
14.025	32.555	93.427	1.537e-017	33.582
14.095	32.625	93.427	0.	33.203
